empresa;cidade;uf;segmento;tier;nota_calor;whatsapp;telefone;email;instagram;instagram_numeros;facebook;site;google_negocio;redes_atividade;reputacao;sinal_oportunidade;prova_url;gancho_abordagem;responsavel;cargo_responsavel;confianca_decisor;email_confianca;anuncio;situacao_cadastral;porte;abertura;tecnologia;pendencias;origem_dado;nota_detalhe;cnpj;lote;data_coleta;link_dossie
Clínica Fares;São Paulo;SP;Clínica médica popular, 45 especialidades, 4 unidades;QUENTE;92;;(11) 3851-4000;desenvolvimento@clinicafares.com.br;;;;https://www.clinicafares.com.br/;;;Reclame Aqui 6,8 de 10, 315 reclamações, 76,4% resolvidas, 65,6% voltariam a fazer negócio, atendimento avaliado como regular;Paciente registrou publicamente que passou dois dias tentando agendar consulta pelo WhatsApp sem nenhuma resposta. Não é caso isolado: são 315 reclamações no Reclame Aqui e o atendimento aparece avaliado como regular. A operação tem 4 unidades e consulta a partir de R$ 110, ou seja, o modelo depende de volume, e o gargalo está no canal de entrada.;https://www.reclameaqui.com.br/clinica-fares/dificuldade-de-contato-via-whatsapp-para-agendamento-de-consultas_97L9aJkLiwrSr9HW/;Vi no Reclame Aqui um paciente que ficou dois dias tentando agendar pelo WhatsApp de vocês e não teve resposta. Com 4 unidades e consulta a R$ 110, cada mensagem parada na fila é uma consulta que não aconteceu. Queria te mostrar como responder e agendar 24 horas por dia sem contratar mais gente na recepção.;Adiel Fares;Administrador;CONFIRMADO;mx_ok;;ATIVA;;1988-08-31;;Telefone da Receita ((11) 3986-3503) não confere com o telefone público do site ((11) 3851-4000). WhatsApp não publicado em canal oficial, confirmar na unidade.;RDAP+Receita+Reclame Aqui+site;FIT 48/50 + SINAL 44/50 − 0 = 92/100;59.492.348/0001-96;clinicas-sp;2026-09-14;clinicas-sp.md
Allegra Odontologia;São Paulo;SP;Clínica odontológica, 3 unidades (Tatuapé, Moema, Itaim);QUENTE;81;https://wa.me/5511961724207;(11) 3562-8744;allegraodonto@gmail.com;;;;https://allegraodontologia.com.br/;4,7 de 5 (304 avaliações, unidade Tatuapé);;Perfil no Reclame Aqui existe, nota não confirmada;Três unidades e 304 avaliações no Google, e nenhum paciente consegue marcar horário sozinho: o formulário do site não agenda nada, só abre conversa no WhatsApp. O e-mail que a clínica publica, e usa até no registro do domínio, é um gmail. Uma operação de 23 anos com esse volume roda a agenda inteira na mão de quem atende o celular.;https://allegraodontologia.com.br/;Vocês têm 4,7 com 304 avaliações só no Tatuapé e três unidades rodando, mas o formulário do site não marca horário: joga tudo no WhatsApp. Queria te mostrar o que acontece com a agenda quando o paciente consegue marcar sozinho, às onze da noite, sem passar por ninguém.;Fabio Suzuki Segawa;Sócio-Administrador;CONFIRMADO;mx_ok;;ATIVA;;2003-04-28;;"O WhatsApp exibe o selo ""geralmente responde em minutos"", o que enfraquece a tese de demora: aqui o argumento é custo de gente e horário, não lentidão. Segundo sócio-administrador: Rodolfo Suzuki Segawa.";RDAP+Receita+site+busca;FIT 47/50 + SINAL 34/50 − 0 = 81/100;05.631.799/0001-38;clinicas-sp;2026-09-14;clinicas-sp.md
Odonto8;São Paulo;SP;Clínica odontológica, Tatuapé;QUENTE;80;https://wa.me/5511944599194;(11) 2227-2679;;;;;https://www.odonto8.com.br/;mais de 200 avaliações 5 estrelas, número declarado pela própria clínica no site e não conferido no Google;;;A clínica atende de segunda a quinta das 8h às 18h e sexta até as 17h, e não tem agendamento online nenhum: todo botão do site leva pro WhatsApp. Quem procura dentista à noite, no fim de semana ou na hora da dor não consegue marcar. Com o volume que a própria clínica declara, o que cai fora desse horário é demanda real indo embora.;https://www.odonto8.com.br/;Vocês fecham sexta às 17h e não atendem sábado, e quem entra no site fora disso só tem a opção de mandar mensagem e esperar. Numa clínica com mais de 200 avaliações cinco estrelas, é muita gente batendo na porta fechada. Queria te mostrar como a agenda continua enchendo depois que a recepção vai embora.;Mayra Fidelis Zamboni Quitero;Titular do domínio;PROVÁVEL;;;;;;;O registro do domínio é de pessoa física, então não há CNPJ para amarrar o decisor. As 200 avaliações são número declarado pela clínica, não conferido direto no Google. Passo manual: abrir o perfil no Google do negócio e conferir nota e volume.;RDAP+site;FIT 42/50 + SINAL 38/50 − 0 = 80/100;;clinicas-sp;2026-09-14;clinicas-sp.md
CEFIP;São Paulo;SP;Fisioterapia, pilates e RPG, Ipiranga;QUENTE;73;https://wa.me/5511960218181;(11) 2062-8181;cefippilates@gmail.com;;;;https://www.cefip.com.br/;;;;"O site tem botão ""MARQUE UM HORÁRIO"" e ""FAÇA UM AGENDAMENTO AGORA"" em vários pontos, e nenhum deles marca horário: todos abrem o WhatsApp. A clínica também não publica horário de funcionamento e usa gmail como e-mail oficial. Pilates e fisioterapia vivem de sessão recorrente e remarcação, que é o tipo de conversa que mais consome a recepção e menos precisa de gente.";https://www.cefip.com.br/;"O site de vocês tem vários botões escritos ""marque um horário"", e todos abrem o WhatsApp. Em pilates e fisioterapia, remarcação de sessão é o que mais ocupa a recepção no dia. Queria te mostrar como isso se resolve sozinho, inclusive fora do horário da clínica.";Lidia Maria Marques Minelli;Sócio-Administradora;CONFIRMADO;mx_ok;;ATIVA;;2005-02-11;;Horário de funcionamento não publicado no site. Volume de avaliações no Google não confirmado.;RDAP+Receita+site;FIT 40/50 + SINAL 33/50 − 0 = 73/100;07.250.646/0001-76;clinicas-sp;2026-09-14;clinicas-sp.md
Cure Fisioterapia;São Paulo;SP;Fisioterapia e pilates, Itaim Bibi e Jardins;MORNO;68;https://wa.me/5511992743707;(11) 3078-3809;;;;;https://curefisioterapia.com.br/;avaliações positivas indexadas, nota e volume não confirmados;;;Atende de segunda a sexta das 7h às 20h e fecha sábado e domingo, e o agendamento sai do site por link externo ou cai no WhatsApp. O canal existe, mas continua dependendo de alguém do outro lado dentro do horário comercial.;https://curefisioterapia.com.br/;Vocês atendem até as 20h e fecham fim de semana, e o agendamento depende de alguém responder. Paciente de ortopedia costuma procurar fisioterapia justamente no sábado, depois que a dor apareceu. Queria te mostrar o que dá pra capturar nessa janela.;Soraya Couto Skaf;Empresária individual, titular do CNPJ;CONFIRMADO;;;ATIVA;;2015-02-24;;Existe link externo de agendamento, o que enfraquece o sinal de nenhum autoatendimento. Confirmar se o link marca horário de verdade ou só abre formulário. Telefone da Receita: (11) 2577-5840.;RDAP+Receita+site;FIT 40/50 + SINAL 28/50 − 0 = 68/100;21.917.622/0001-59;clinicas-sp;2026-09-14;clinicas-sp.md
Bella Linea Estética & Laser;São Paulo;SP;Clínica de estética e laser, Vila Mariana;MORNO;68;https://wa.me/5511991236080;(11) 5549-9722;;@clinicabellalinea;;;https://www.clinicabellalinea.com.br/;;;;Nenhum agendamento automático: todos os links do site levam pro WhatsApp. O atendimento é de segunda a sexta das 8h às 20h e sábado das 8h às 14h, então fora disso a clínica não responde. Empresa aberta em 1995, com três sócios-administradores, rodando a entrada de paciente num canal manual só.;https://www.clinicabellalinea.com.br/;Todo caminho de agendamento do site de vocês termina no WhatsApp, e o atendimento para às 20h. Em estética, boa parte da procura acontece à noite, depois que a pessoa sai do trabalho. Queria te mostrar como não perder essa janela sem colocar mais gente de plantão.;;;PROVÁVEL;;;ATIVA;;1995-01-13;;Três sócios-administradores no quadro (Alessandra Sallum Fernandes Velasco, Marlene Sallum Fernandes, Roberto Carlos de Moraes Fernandes) e nenhum se destaca como decisor, então não elegi um. O domínio está registrado em nome de outra empresa (Fik Forma Center Comercio Ltda), o que é comum e não é irregularidade, mas precisa ser confirmado.;RDAP+Receita+site;FIT 40/50 + SINAL 28/50 − 0 = 68/100;00.410.346/0001-68;clinicas-sp;2026-09-14;clinicas-sp.md
Fisioluque;São Paulo;SP;Fisioterapia, pilates e RPG, Vila Carrão e Mooca;MORNO;68;https://wa.me/551121933583;(11) 2193-3583;contato@fisioluque.com.br;;;;https://fisioluque.com.br/;;;;"Duas unidades (Vila Carrão e Mooca) com dois números diferentes, botão ""AGENDAR CONSULTA"" que não agenda nada e nenhum horário de funcionamento publicado. Quem chega no site não sabe quando a clínica atende nem consegue marcar sozinho, e a triagem entre as duas unidades sobra pra quem responde a mensagem.";https://fisioluque.com.br/;Vocês têm duas unidades e dois números, e o site não diz o horário nem deixa marcar sozinho. Isso significa que quem responde as mensagens está fazendo triagem de unidade o dia inteiro. Queria te mostrar como essa triagem acontece sem ninguém.;Daniel Petrillo Luque;Titular do domínio;PROVÁVEL;mx_ok;;;;;;Registro do domínio em pessoa física, sem CNPJ para amarrar o decisor. Segundo número, da unidade Mooca: (11) 3384-6000.;RDAP+site;FIT 38/50 + SINAL 30/50 − 0 = 68/100;;clinicas-sp;2026-09-14;clinicas-sp.md
ProCorpore;São Paulo;SP;Fisioterapia, pilates, RPG e acupuntura, Vila Clementino;MORNO;68;https://wa.me/551155722540;(11) 5572-2540;contato@procorpore.com.br;;;;https://procorpore.com.br/;;;;Formulário de contato e link de WhatsApp, nenhum agendamento automático, e atendimento de segunda a sexta das 7h às 19h com fim de semana fechado. Formulário de contato é o pior dos dois mundos: a pessoa preenche, não marca nada, e ainda espera retorno.;https://procorpore.com.br/;Quem entra no site de vocês preenche um formulário e fica esperando retorno, sem sair com horário marcado. Em pilates, essa espera é onde o aluno desiste. Queria te mostrar como sair do formulário para a agenda cheia sem passar por ninguém.;Vania Aparecida Pellicciotti;Titular do domínio;PROVÁVEL;mx_ok;;;;;;Registro do domínio em pessoa física, sem CNPJ para amarrar o decisor nem para confirmar porte.;RDAP+site;FIT 38/50 + SINAL 30/50 − 0 = 68/100;;clinicas-sp;2026-09-14;clinicas-sp.md
Zay Estética;São Paulo;SP;Clínica de estética e dermatologia, Higienópolis;MORNO;61;https://wa.me/5511962296053;;;;;;https://zayestetica.com.br/;;;;"A clínica tem uma página inteira chamada ""Quero Agendar"" que não agenda: é formulário mais WhatsApp, com a promessa de que a equipe de atendimento vai responder, sem prazo nenhum. O paciente clicou no botão certo, cumpriu o passo, e mesmo assim entrou numa fila humana. A clínica também não publica horário de atendimento.";https://zayestetica.com.br/agendamento/;"A página de vocês se chama Quero Agendar e termina em ""nossa equipe irá te responder"". Quem clicou ali já decidiu, e mesmo assim entra numa fila. Queria te mostrar como essa mesma página sai com horário confirmado na hora.";Evellyn Cristina Campanhola Ayres;Titular do domínio;PROVÁVEL;;;;;;;Registro em pessoa física e sem CNPJ localizado, então não dá pra confirmar porte. Penalizei a nota em 5 pontos por isso: se for operação de uma profissional só, pode não sustentar a recorrência de R$ 1.500 por mês.;RDAP+site;FIT 32/50 + SINAL 34/50 − 5 porte não confirmado = 61/100;;clinicas-sp;2026-09-14;clinicas-sp.md
Beauty Smile;São Paulo;SP;Clínica odontológica a laser, Paraíso;MORNO;51;https://wa.me/551150281492;(11) 5028-1492;;;;;https://www.beautysmile.com.br/;;;;Sem agendamento online, tudo vai pro WhatsApp, e o atendimento é de segunda a sexta das 9h às 19h. Ticket alto (laser Fotona, clareamento, Invisalign) entrando por um canal que só funciona em horário comercial.;https://www.beautysmile.com.br/;Vocês vendem tratamento de ticket alto e a entrada é um WhatsApp que só funciona em horário comercial. Queria entender quem responde essas mensagens hoje e o que acontece com as que chegam à noite.;;;NÃO CONFIRMADO;;;;;;;O domínio está registrado pela RAINMAKER SERVICE CONSULTORIA LTDA (CNPJ 17.211.914/0001-02), com e-mails @fotona.com.br, o que sugere ligação com a distribuidora do equipamento e não uma clínica independente. Não consegui identificar o decisor da clínica em si, então não uso nenhum nome. A página Trabalhe Conosco existe, mas página de carreira permanente não é vaga aberta e não contei como sinal. Segundo telefone, do Trabalhe Conosco: (11) 3884-9333. Passo manual: abrir a página Sobre e confirmar quem opera a clínica.;RDAP+site;FIT 30/50 + SINAL 26/50 − 5 decisor não identificável = 51/100;;clinicas-sp;2026-09-14;clinicas-sp.md
